DateTime,CV1.HIGHLIMIT,CV10.HIGHLIMIT,CV2.HIGHLIMIT,CV3.HIGHLIMIT,CV4.HIGHLIMIT,CV5.HIGHLIMIT,CV6.HIGHLIMIT,CV7.HIGHLIMIT,CV8.HIGHLIMIT,CV9.HIGHLIMIT,CV1.LOWLIMIT,CV10.LOWLIMIT,CV2.LOWLIMIT,CV3.LOWLIMIT,CV4.LOWLIMIT,CV5.LOWLIMIT,CV6.LOWLIMIT,CV7.LOWLIMIT,CV8.LOWLIMIT,CV9.LOWLIMIT,CV1.STATUS,CV10.STATUS,CV2.STATUS,CV3.STATUS,CV4.STATUS,CV5.STATUS,CV6.STATUS,CV7.STATUS,CV8.STATUS,CV9.STATUS,CV1.READVALUE,CV10.READVALUE,CV2.READVALUE,CV3.READVALUE,CV4.READVALUE,CV5.READVALUE,CV6.READVALUE,CV7.READVALUE,CV8.READVALUE,CV9.READVALUE,MV1.HIGHLIMIT,MV2.HIGHLIMIT,MV3.HIGHLIMIT,MV4.HIGHLIMIT,MV5.HIGHLIMIT,MV1.LOWLIMIT,MV2.LOWLIMIT,MV3.LOWLIMIT,MV4.LOWLIMIT,MV5.LOWLIMIT,MV1.READVALUE,MV2.READVALUE,MV3.READVALUE,MV4.READVALUE,MV5.READVALUE,MV1.SENTVALUE,MV1.SENTVALUEIFON,MV2.SENTVALUE,MV2.SENTVALUEIFON,MV3.SENTVALUE,MV3.SENTVALUEIFON,MV4.SENTVALUE,MV4.SENTVALUEIFON,MV5.SENTVALUE,MV5.SENTVALUEIFON,OMMON.TURNONOFF,CV1._NAME,Time_diff
2024-01-10 09:33:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,349.468719482422,59.9836235046387,5.24136734008789,38.9708213806152,48.9442176818848,151.493667602539,-1.31489038467407,36.7002143859863,43.8360023498535,401.819427490234,2400,100,100,90,61,1000,0,0,0,0,2396.83374023438,64.5,59,50,52.0,2396.22387695313,2396.22387695313,61.5,61.5,59,59,50,50,53.0,53.0,1,,30.0
2024-01-10 09:33:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,376.026000976563,60.0782203674316,7.53740692138672,40.2737503051758,54.875415802002,151.215530395508,-1.31489038467407,37.8440704345703,43.1076126098633,393.997650146484,2400,100,100,90,61,1000,0,0,0,0,2395.6904296875,59.5,59,50,52.0,2395.38842773438,2395.38842773438,56.5,56.5,59,59,50,50,53.0,53.0,1,,30.0
2024-01-10 09:34:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,361.628448486328,59.595775604248,3.98042798042297,40.763599395752,57.0795135498047,150.583343505859,-1.31489038467407,38.5930404663086,44.2900657653809,391.451690673828,2400,100,100,90,61,1000,0,0,0,0,2395.8212890625,54.5,59,50,53.0,2395.8212890625,2395.8212890625,54.5,54.5,59,59,50,50,53.0,53.0,1,,30.0
2024-01-10 09:34:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,366.141235351563,60.0971412658691,6.57758712768555,41.7236518859863,62.1593399047852,149.712951660156,-1.30543112754822,40.2416343688965,43.268424987793,391.791473388672,2400,100,100,90,61,1000,0,0,0,0,2396.6171875,41.5,60,19,53.0,2396.6171875,2396.6171875,41.5,41.5,60,60,7,7,53.0,53.0,1,,30.0
2024-01-10 09:35:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,348.619964599609,60.305248260498,4.62971925735474,46.9274940490723,67.3243103027344,197.713836669922,3.85953497886658,42.7286224365234,44.2806053161621,396.887023925781,2400,100,100,90,61,1000,0,0,0,0,2397.16943359375,36.5,62,50,53.0,2396.19604492188,2396.19604492188,39.5,39.5,63,63,50,50,52.0,52.0,1,,30.0
2024-01-10 09:35:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,357.962036132813,59.8984832763672,5.20372676849365,49.2599220275879,66.908088684082,316.681823730469,9.9326286315918,44.9350738525391,44.1860122680664,395.989166259766,2400,100,100,90,61,1000,0,0,0,0,2395.54809570313,42.5,64,50,53.0,2393.52758789063,2393.52758789063,47.5,47.5,65,65,54,54,53.0,53.0,1,,30.0
2024-01-10 09:36:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,377.286346435547,58.6876525878906,4.51679849624634,50.8775253295898,66.6999664306641,331.406005859375,6.50823736190796,46.2833938598633,43.7508697509766,396.866119384766,2400,100,100,90,61,1000,0,0,0,0,2394.12841796875,47.5,65,58,53.0,2394.12841796875,2394.12841796875,47.5,47.5,65,65,58,58,53.0,53.0,1,,30.0
2024-01-10 09:36:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,361.371002197266,60.1160583496094,3.82045817375183,53.1823120117188,63.0580062866211,412.744445800781,28.6816482543945,48.8367881774902,43.0413970947266,397.368957519531,2400,100,100,90,61,1000,0,0,0,0,2391.78393554688,58.5,69,60,53.0,2391.78393554688,2391.78393554688,58.5,58.5,69,69,60,60,53.0,53.0,1,,30.0
2024-01-10 09:37:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,349.612579345703,58.8957595825195,3.58521056175232,54.4603691101074,58.7538642883301,422.171295166016,24.5194053649902,51.2124328613281,43.8833045959473,392.955444335938,2400,100,100,90,61,1000,0,0,0,0,2390.98291015625,66.5,73,64,53.0,2390.98291015625,2390.98291015625,66.5,66.5,73,73,64,64,53.0,53.0,1,,30.0
2024-01-10 09:37:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,378.809875488281,60.6930961608887,4.83673810958862,54.4835891723633,54.7902755737305,456.896392822266,9.59208297729492,52.9132270812988,43.9116821289063,396.603088378906,2400,100,100,90,61,1000,0,0,0,0,2390.75903320313,74.5,76,70,53.0,2390.75903320313,2390.75903320313,74.5,74.5,76,76,70,70,53.0,53.0,1,,30.0
